CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Sociedade;Razao_Social;CNPJ;Tipo_Sociedade;Descricao_Atividades;Pais_Sede;UF_Sede;Municipio_Sede;Participacao_Emissor;Possui_Registro_CVM;Codigo_CVM;Razao_Aquisicao_Manutencao;Data_Valor_Mercado;Data_Valor_Contabil;Valor_Mercado;Valor_Contabil
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809903;MS Participações Societárias S.A.;10288617000108;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809904;Santos Energia Participações S.A.;08685391000137;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809905;AES Tietê Eólica Participações S.A.;11289590000130;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809906;AES Tietê Integra Soluções em Energia Ltda.;26203837000121;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809907;AGV Solar IV Geradora de Energia S.A.;28937900000189;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809908;AGV Solar V Geradora de Energia S.A.;28938999000133;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809909;AGV Solar VI Geradora de Energia S.A.;28937919000125;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809910;AGV Solar VII Geradora de Energia S.A;43721023000106;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809911;Brasventos Eolo Geradora de Energia S.A.;11637090000142;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809912;Brasventos Miassaba 3 Geradora de Energia S.A.;11839616000177;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809913;Centrais Eólicas Ametista S.A.;11201885000103;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809914;Centrais Eólicas Borgo S.A.;12041341000194;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809915;Centrais Eólicas Caetité S.A.;11201767000103;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809916;Centrais Eólicas da Prata S.A.;11366231000130;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809917;Centrais Eólicas dos Araçás S.A.;11201833000137;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809918;Centrais Eólicas Dourados S.A.;12041319000144;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809919;Centrais Eólicas Espigão S.A.;11197321000144;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809920;Centrais Eólicas Maron S.A.;12041214000195;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809921;Centrais Eólicas Morrão S.A.;12049829000168;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809922;Centrais Eólicas Pelourinho S.A.;12048031000100;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809923;Centrais Eólicas Pilões S.A.;11201797000101;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809924;Centrais Eólicas Seraíma S.A.;12047526000106;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809925;Centrais Eólicas Serra do Espinhaço S.A.;12049958000156;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809926;Centrais Eólicas Tanque S.A.;12048059000139;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809927;Centrais Eólicas Ventos do Nordeste S.A.;11204086000190;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809928;Central Eólica Santo Antônio de Pádua S.A.;09601233000114;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809929;Central Eólica São Cristóvão S.A.;10272500000136;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809930;Central Eólica São Jorge S.A.;09571485000148;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809931;Embuaca Geração e Comercialização de Energia S.A.;10288461000165;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809932;Eólica Bela Vista Geração e Comercialização de Energia S.A.;10288502000113;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809933;Eólica Icarai Geração e Comercialização de Energia S.A.;12108854000175;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809934;Eólica Mar e Terra Geração e Comercialização de Energia S.A.;10288438000170;;;;;;100.00000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809935;Guaimbê I Parque Solar S.A.;21983240000123;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809936;Guaimbê II Parque Solar S.A.;21904039000103;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809937;Guaimbê III Parque Solar S.A.;22011002000119;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809938;Guaimbê IV Parque Solar S.A.;21983147000119;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809939;Guaimbê V Parque Solar S.A.;22010973000144;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809940;Nova Energia Holding S.A.;22853844000118;;;;;;76.59000000;;;;;;;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;809941;REB EMPREENDIMENTOS E ADMINISTRADORA DE BENS S.A.;09092023000148;;;;;;100.00000000;;;;;;;
