CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Quantidade_Acionistas_PF;Quantidade_Acionistas_PJ;Quantidade_Acionistas_Investidores_Institucionais;Quantidade_Acoes_Ordinarias_Circulacao;Percentual_Acoes_Ordinarias_Circulacao;Quantidade_Acoes_Preferenciais_Circulacao;Percentual_Acoes_Preferenciais_Circulacao;Quantidade_Total_Acoes_Circulacao;Percentual_Total_Acoes_Circulacao;Data_Ultima_Assembleia
02.796.775/0001-40;2024-12-31;1;138021;GAMA PARTICIPACOES S.A.;0;2;1;0;0.000000;0;0.000000;0;0.000000;2015-04-27
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;184104;709;450;1872454628;99.779000;0;0.000000;1872454628;99.779000;2024-04-29
02.846.056/0001-97;2024-12-31;9;141095;CCR S.A.;29338;178;1070;991920937;49.105000;0;0.000000;991920937;49.105000;2024-04-18
02.860.694/0001-62;2024-12-31;2;139212;T4F ENTRETENIMENTO S.A.;14555;121;1;33258852;49.488000;0;0.000000;33258852;49.488000;2022-04-29
02.916.265/0001-60;2024-12-31;6;142151;JBS S.A.;94512;1567;665;1142696472;51.517000;0;0.000000;1142696472;51.517000;2024-04-26
02.919.555/0001-67;2024-12-31;1;138269;ARTERIS S.A.;0;4;0;0;0.000000;0;0.000000;0;0.000000;2017-06-14
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;41115;643;773;370735677;58.529000;0;0.000000;370735677;58.529000;2024-04-23
02.950.811/0001-89;2024-12-31;9;142086;PDG REALTY S.A. EMPREEND E PARTICIPACOES;14296;241;26;1743494885;99.999000;0;0.000000;1743494885;99.999000;2024-05-29
02.992.449/0001-09;2024-12-31;1;138026;PROMPT PARTICIPACOES S.A.;0;1;2;0;0.000000;0;0.000000;0;0.000000;2024-04-30
02.998.301/0001-81;2024-12-31;3;140404;RIO PARANAPANEMA ENERGIA S.A.;10222;53;188;297036;0.944000;3300250;5.242000;3597286;3.809000;2024-04-30
02.998.611/0001-04;2024-12-31;9;141770;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;297360;2013;248;27080900;10.499000;395801044;98.717000;422881944;64.182000;2024-07-04
03.014.553/0001-91;2024-12-31;2;138912;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;11299;57;26;18532521;42.119000;0;0.000000;18532521;42.119000;2024-05-16
03.025.305/0001-46;2024-12-31;2;138967;RODOVIAS DAS COLINAS S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2012-06-29
03.207.703/0001-83;2024-12-31;4;140368;CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A;0;2;0;0;0.000000;0;0.000000;0;0.000000;2016-04-29
03.220.438/0001-73;2024-12-31;16;142011;EQUATORIAL S.A.;55294;382;2014;1170141041;99.914000;0;0.000000;1170141041;99.914000;2024-04-30
03.279.285/0001-30;2024-12-31;5;141757;ORIZON MEIO AMBIENTE S.A.;0;1;0;0;0.000000;0;0.000000;0;0.000000;2024-04-30
03.303.999/0001-36;2024-12-31;1;138440;DTCOM - DIRECT TO COMPANY S.A.;579;6;0;225512;2.111000;0;0.000000;225512;2.026000;2021-04-30
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;29321;551;22;275699226;93.950000;0;0.000000;275699226;93.950000;2024-05-29
03.378.521/0001-75;2024-12-31;6;141833;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;13997;256;186;372549624;99.998000;0;0.000000;372549624;99.998000;2024-04-30
03.467.321/0001-99;2024-12-31;2;141824;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;318;60;9;3983194;5.274000;1063437;0.742000;5046631;2.305000;2024-04-29
03.538.833/0001-07;2024-12-31;1;138027;XX DE NOVEMBRO INVESTIMENTOS E PARTICIPAÇÕES S.A.;1;0;1;0;0.000000;0;0.000000;0;0.000000;2023-04-28
