CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sul;0;0;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Centro-Oeste;0;1;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Exterior;0;0;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Nordeste;1;1;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Norte;0;0;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Sudeste;58;111;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Sul;0;0;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Centro-Oeste;3;5;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Exterior;0;0;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Nordeste;45;24;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Norte;5;3;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Sudeste;245;159;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Sul;6;10;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Centro-Oeste;3;1;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Exterior;1;2;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Nordeste;7;34;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Norte;1;2;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sudeste;16;43;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sul;43;80;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Centro-Oeste;0;0;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Exterior;0;0;0;0;0
