CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sul;3;115;0;5;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Exterior;0;0;0;0;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Nordeste;0;0;0;0;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Norte;1;21;3;20;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Sudeste;0;16;2;3;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Sul;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Exterior;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Nordeste;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Norte;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Sudeste;0;0;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Sul;0;0;0;0;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Centro-Oeste;16;297;177;1312;1;0;2
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Exterior;0;0;0;0;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Nordeste;65;715;421;4718;8;0;13
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Norte;18;169;97;1498;1;0;5
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sudeste;413;6310;2632;12687;73;0;128
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sul;9;1472;135;563;0;0;6
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Centro-Oeste;50;1575;467;2360;12;0;39
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Exterior;0;0;0;0;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Nordeste;53;1395;280;2292;11;0;19
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Norte;70;839;384;2466;13;0;76
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Sudeste;28;2993;319;809;0;0;17
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Sul;0;71;2;8;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Centro-Oeste;3;70;19;96;0;0;2
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Exterior;0;0;0;0;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Nordeste;4;60;97;235;0;0;1
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Norte;0;0;0;0;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Sudeste;54;1600;514;2269;8;0;7
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Sul;0;0;0;0;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Centro-Oeste;0;0;0;0;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Exterior;0;0;0;0;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Nordeste;0;0;0;0;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Norte;0;0;0;0;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Sudeste;0;21;0;10;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Sul;0;0;0;0;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Centro-Oeste;13;198;23;162;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Exterior;0;0;0;0;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Nordeste;12;257;57;305;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Norte;4;77;12;99;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sudeste;98;2926;292;1092;9;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sul;10;545;20;156;1;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Centro-Oeste;25;385;120;508;2;0;4
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Exterior;0;0;0;0;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Nordeste;107;2464;1480;5362;27;0;404
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Norte;0;0;0;0;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Sudeste;52;3229;291;1188;7;0;20
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Sul;0;6;5;7;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Centro-Oeste;0;0;0;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Exterior;0;0;0;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Nordeste;0;0;0;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Norte;0;0;0;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sudeste;0;2;0;0;0;0;1
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sul;0;0;0;0;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Centro-Oeste;1;61;8;28;0;0;36
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Exterior;0;0;0;0;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Nordeste;1;148;23;47;2;0;16
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Norte;0;0;0;0;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Sudeste;9;1323;186;545;6;0;50
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Sul;5;2378;178;283;7;0;42
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Centro-Oeste;13;444;146;647;5;0;6
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Exterior;0;0;0;0;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Nordeste;0;0;0;0;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Norte;0;3;2;1;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Sudeste;24;2043;385;987;11;0;5
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Sul;31;2621;183;732;14;0;11
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Exterior;0;0;0;0;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Nordeste;0;0;0;0;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Norte;0;0;0;0;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Sudeste;27;3779;882;2089;124;0;14
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Sul;0;0;0;0;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Centro-Oeste;0;0;0;0;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Exterior;0;0;0;0;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Nordeste;0;0;0;0;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Norte;0;0;0;0;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Sudeste;6;251;23;112;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Sul;0;0;0;0;0;0;0
